team1,team2,winner,venue,margin,date,team1_score,team2_score
Canada,United States of America,United States of America,"Nassau County International Cricket Stadium, New York, US",by 7 wickets (with 14 balls remaining),2/6/2024,194/5,197/3
Papua New Guinea,West Indies,West Indies,"Providence Stadium, Georgetown, Guyana",by 5 wickets (with 6 balls remaining),2/6/2024,136/8,137/5
Oman,Namibia,Namibia,"Kensington Oval, Bridgetown, Barbados",Match tied (Namibia won the Super Over),3/6/2024,109,109/6
Sri Lanka,South Africa,South Africa,"Nassau County International Cricket Stadium, New York, US",by 6 wickets (with 22 balls remaining),3/6/2024,77,80/4
Afghanistan,Uganda,Afghanistan,"Guyana National Stadium, Guyana",by 125 runs,4/6/2024,183/5,58
Nepal,Netherlands,Netherlands,"Grand Prairie Stadium, Texas, US",by 6 wickets (with 8 balls remaining),4/6/2024,106,109/4
Ireland,India,India,"Nassau County International Cricket Stadium, New York, US",by 8 wickets (with 46 balls remaining),5/6/2024,96,97/2
Papua New Guinea,Uganda,Uganda,"Guyana National Stadium, Guyana",by 3 wickets (with 10 balls remaining),5/6/2024,77,78/7
Australia,Oman,Australia,"Grand Prairie Stadium, Texas, US",by 39 runs,6/6/2024,164/5,125/9
Pakistan,United States of America,United States of America,"Grand Prairie Stadium, Texas, US",Match tied (U.S.A. won the Super Over),6/6/2024,159/7,159/3
Namibia,Scotland,Scotland,"Kensington Oval, Bridgetown, Barbados",by 5 wickets (with 9 balls remaining),6/6/2024,155/9,157/5
Afghanistan,New Zealand,Afghanistan,"Guyana National Stadium, Guyana",by 84 runs,6/6/2024,159/6,75
Sri Lanka,Bangladesh,Bangladesh,"Grand Prairie Stadium, Texas, US",by 2 wickets (with 6 balls remaining),8/6/2024,124/9,125/8
Netherlands,South Africa,South Africa,"Daren Sammy Cricket Stadium, Gros Islet, Saint Lucia",by 4 wickets (with 7 balls remaining),8/6/2024,103/9,106/6
West Indies,Uganda,West Indies,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 134 runs,9/6/2024,173/5,39
Oman,Scotland,Scotland,"Sir Vivian Richards Stadium, North Sound, Antigua and Barbuda",by 7 wickets (with 41 balls remaining),9/6/2024,150/7,153/3
South Africa,Bangladesh,South Africa,"Nassau County International Cricket Stadium, New York, US",by 4 runs,10/6/2024,113/6,109/7
Canada,Pakistan,Pakistan,"Nassau County International Cricket Stadium, New York, US",by 7 wickets (with 15 balls remaining),11/6/2024,106/7,107/3
Namibia,Australia,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua and Barbuda",by 9 wickets (with 86 balls remaining),12/6/2024,72,74/1
United States of America,India,India,"Nassau County International Cricket Stadium, New York, US",by 7 wickets (with 10 balls remaining),12/6/2024,110/8,111/3
West Indies,New Zealand,West Indies,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 13 runs,13/06/2024,149/9,136/9
Oman,England,England,"Nassau County International Cricket Stadium, New York, US",by 8 wickets (with 101 balls remaining),13/06/2024,47,50/2
Papua New Guinea,Afghanistan,Afghanistan,"Guyana National Stadium, Guyana",by 7 wickets (with 29 balls remaining),14/06/2024,95,101/3
Uganda,New Zealand,New Zealand,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 9 wickets (with 88 balls remaining),15/06/2024,40,41/1
England,Namibia,England,"Daren Sammy Cricket Stadium, Gros Islet, Saint Lucia",by 41 runs (DLS method),15/06/2024,122/5,84/3
Scotland,Australia,Australia,"Sir Vivian Richards Stadium, North Sound, Antigua and Barbuda",by 5 wickets (with 2 balls remaining),16/06/2024,180/5,186/5
Ireland,Pakistan,Pakistan,"Nassau County International Cricket Stadium, New York, US",by 3 wickets (with 7 balls remaining),16/06/2024,106/9,111/7
Sri Lanka,Netherlands,Sri Lanka,"Daren Sammy Cricket Stadium, Gros Islet, Saint Lucia",by 83 runs,17/06/2024,201/6,118
Papua New Guinea,New Zealand,New Zealand,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 7 wickets (with 46 balls remaining),17/06/2024,78,79/3
West Indies,Afghanistan,West Indies,"Daren Sammy Cricket Stadium, Gros Islet, Saint Lucia",by 104 runs,18/06/2024,218/5,114
South Africa,United States of America,South Africa,"Nassau County International Cricket Stadium, New York, US",by 18 runs,19/06/2024,194/4,176/6
West Indies,England,England,"Daren Sammy Cricket Stadium, Gros Islet, Saint Lucia",by 8 wickets (with 15 balls remaining),20/06/2024,180/4,181/2
Bangladesh,Australia,Australia,"Nassau County International Cricket Stadium, New York, US",by 28 runs (DLS method),21/06/2024,140/8,100/2
South Africa,England,South Africa,"Nassau County International Cricket Stadium, New York, US",by 7 runs,21/06/2024,163/6,156/6
United States of America,West Indies,West Indies,"Nassau County International Cricket Stadium, New York, US",by 9 wickets (with 55 balls remaining),22/06/2024,128,130/1
Afghanistan,Australia,Afghanistan,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 21 runs,23/06/2024,148/6,127
United States of America,England,England,"Nassau County International Cricket Stadium, New York, US",by 10 wickets (with 62 balls remaining),23/06/2024,115,117/0
West Indies,South Africa,South Africa,"Nassau County International Cricket Stadium, New York, US",by 3 wickets (with 5 balls remaining) (DLS method),24/06/2024,135/8,124/7
Afghanistan,Bangladesh,Afghanistan,"Brian Lara Stadium, Tarouba, Trinidad and Tobago",by 8 runs (DLS method),25/06/2024,115/5,105
Afghanistan,South Africa,South Africa,"Nassau County International Cricket Stadium, New York, US",by 9 wickets (with 67 balls remaining),27/06/2024,56,60/1
